title,desc
Philippine Science (2007),"The film, set in the 1980s, is centred upon a young student, from 1982 as a freshman and ending in 1986. The background is the last years of Martial Law in the Philippines where the Marcos dictatorship was at its peak."
Still Life (2007),"A painter goes on an exile after finding out he has Guillain Barre Syndrome, a rare disorder that prevents him from painting."
Tribe (2007),"In the darker side of Manila-by-night, tribes of youthful gangsters roam the streets in search of quick fixes and precarious thrills. World-weary Tondo throbs to the beat of of hiphop and freestyle gangsta rap, and to the scents and sensations of drugs and sex and violence. We witness this crepus-cular underworld through the eyes of ten-year-old Ebet. We follow him as he witnesses the deadly lives of teen age gang members in Tondo and the events that lead to their explosive confrontation."
Temptation (2007),"The mysterious death of a young village lass leads to the investigation of those who knew her and what they may have to gain from her death. Told from the perspectives of the different characters, the film examines how one's view may lead to varying interpretations of the same incidents."
100 (2008),"With only three months left to live, a cancer patient compiles a list of tasks to complete before she dies."
Baby Angelo (2008),"Genevieve Homes boasts of a 24-hour security system (you may have seen him napping every so often), and is conveniently located near the neighborhood “sari-sari” store and outdoor café. Those with athletic inclinations will certainly enjoy a one-on-one game of basketball in Genevieve’s outdoor unisport complex; or they can take a stroll in its very precise, ten-plant garden. More than its old-world appeal, Genevieve’s real treasures are its tenants, some of whom have lived in the complex for what seems like forever. A peculiar mix of old and young, families and young single professionals, you’ll certainly be charmed by their ability to be ensconced in the daily, numbing repetition of their everyday lives. You may have heard of the disturbing news involving the discovery of a dead fetus inside the dumpster beside Genevieve Homes, but don’t let that feral murder discourage you from visiting us. Our waste management disposal system is at par with other urban cities"
The Voice (2008),"Boses (Voices) is the story of a musician named Ariel who offers violin lessons to a child of the slums. Through the violin, the abused child Onyok is able to get back his voice from a mute, desensitized existence. A violin teacher and his student, a mute 7-year old abused child in a shelter, develop a friendship stemming from their love of music. Ariel discovers the immense talent of Onyok hiding behind a veneer of silence and pain caused by an unhappy and cruel father. In the developing relationship of teacher and student, both characters reveal more of themselves that otherwise may have remained unspoken. They discover each other's strengths and failures through the violin lessons."
"Brutus, Ang Paglalakbay (2008)","Shot in Oriental Mindoro, Philippines, Brutus follows two kids smuggling logs from the mountains. It is about the journey that opens their eyes to a 'world' that is ruled by greed and torn by the political conflicts."
Concerto (2008),"Concerto is about how, in the last part of World War II, a special piano concert is held in the forest outside Davao City, in Mindanao. In these boondocks, a displaced Filipino family, lead by Military Commander Ricardo and his wife Julia, become acquainted with a group of Japanese officers, similarly camped nearby. Their son Joselito, a Japanese speaker, becomes the conduit with the neighboring Japanese. Their daughters Niña, an aspiring concert pianist and the musically gifted, Maria, who is able to play by ear, are alternately repulsed and intrigued by the officers. Family values are questioned as the family treads the thin line between enmity and friendship with the occupying Japanese. Based on true stories from the director's own family history, Concerto celebrates a family whose reverence for life, expressed through their love of music and friendship, can survive even war, and shows how beauty and compassion does grow in even the harshest of conditions. - Written by anonymous"
Jay (2008),"Jay is the name of the two protagonists in the film, one is living, the other dead. The living Jay is producing a documentary of the dead Jay, a gay teacher who was brutally killed. As Jay recreates and examines the life of his subject, his own life is affected when he unravels his subject's hidden life and secret love."
Namets! (2008),"Follows the flirtation between Manuel and Lourdes, two Negrosanon whose lives revolve around food. Along the way, we are treated to the full panorama of Negrosanon cuisine and the idiosyncrasies of Negrosanon eating."
Ranchero (2008),"Ranchero unfolds in a small provincial jail in Rizal. It's about Ricardo whose last day in jail is today. He and his close friend Miyong work in the jail's kitchen. The two spent the whole morning talking about Ricardo's plans when he gets out of jail. After lunch, one of the kitchen knives went missing and this was brought to the attention of jail officials. Not only will this event affect food preparation in the jail's kitchen but also the lives of both of them."
My Fake American Accent (2008),"A slice-of-life workplace comedy following the lives of technical support call center agents in the span of six months. Speaking with a fake American accent is a prerequisite for the job. This ensemble comedy is an inside look into the maddening, sleep-deprived, caffeine-fuelled lives of those who ply their trade in the call center industry."
Huling Pasada (2008),"Follows the creative process of Ruby, a prolific writer, abandoned wife and protective mother. She writes about Mario, a taxi driver and father figure to a street child. As she tries to resolve Mario's story, she seeks refuge in her own creative output and the line between reality and fiction is blurred. Mario's past becomes entangled with her own inevitable future."
Colorum (2009),"After spending thirty years in prison, Pedro (Lou Veloso), aging and obviously clueless as to what has become of the world outside the penitentiary, is finally freed."
If I Knew What You Said (2009),Deaf dancing boy meets troubled rocker chick in a Baguio camp for Deaf and hearing kids where find that they have more in common with each other including a love for music.
Clash (2009),"""Engwkentro"" follows two teenage brothers attempting to escape an unnamed city controlled by an iron-fisted mayor. They must first break away from the cycle of crime, while trying to run from rival gang leaders and the state's murderous vigilantes."
Last Supper No. 3 (2009),"Assistant Production Designer Wilson Nañawa is tasked to look for a Last Supper to use as a prop for a TV commercial. He finds three, but loses the one owned by Gareth Pugeda. What happens next changes Wilson forever as he spends the next two years entangled in bureaucracy and red tape facing estafa and serious physical injury charges. How will this ordinary man fare against a system he knows nothing about? Will justice prevail for Wilson? Or will he be imprisoned for the loss of Last Supper No. 3?"
The Blood Trail (2009),"Laya is a young professional photographer who has drifted away from her family. Her father has fallen ill, but she hasn’t once come to visit him at the hospital. Her mother, who left their family when Laya was a child, returns to urge Laya to make amends with her father, but Laya’s pain goes deeper than her mother suspects. Laya is sent to the provinces to document a ritual of a disappearing indigenous tribe, and there, she inadvertently comes face to face with her own demons as she observes the relationships of the last remaining members of this dying culture."
The Nursery (2009),"Cocoy, 12, takes on a great responsibility of taking care of his older siblings while his mother, Mai, goes to the province to get money to pay the expensive hospital bills for her three mentally sick children. His mother is gone for two weeks and Cocoy’s struggle in managing his personal, school and home life is a nerve-racking challenge. In the end he faces truth and life head-on as he fights for his own sanity"
The Rapture of Fe (2009),"Fe returns home to the Philippines after several years of working overseas, her job a victim of global economic shifts. Fe is initially greeted with affection by her husband Dante, but he has a long history of domestic violence fueled by rage and long-term impotence, and Fe quickly discovers her time away has not changed him. Dante works in a factory making baskets, and Fe soon joins him there; she becomes the lover of Arturo, the man who manages the basket company, but while Arturo treats her well, he's still under the thumb of his father who owns the factory. Meanwhile, an unknown admirer sends her parcels of strange black fruit on a regular basis. Torn between two men who cannot give her what she needs and wants, Fe's frustration leads to take desperate steps to establish her independence."
The Pawnshop (2009),"Follows the lives of four different people, each linked to the other by the house of business. Olivia, owner of the establishment, yearns for her late husband and denies the onset of old age. She lives with her appraiser Amy, a romantic who is doing almost everything for love. Kanor serves as the pawnshop security guard. He holds Olivia in high esteem for letting him and his wife stay in the apartment above the shop. Kanor opens his house to boarder David, a seaman in transit."
Squalor (2009),"Four men, four stories, all intersect in Manila. Episode one is about Ariel, a con-man. Episode two is about Boy, an expectant father. In the third episode, Ronald goes to Manila to sell a building. And in the fourth story Baste saves his sister from Ariel."
24K (2009),"Manok is a middle-class treasure hunter who’s been digging for Japanese treasure for years. He and his companions are in the final stage of their current site in the mountains of Suyo, Ilocos Sur, an area reputed as a Japanese stronghold during World War II. All the signs at their site indicate that they are certain to find treasure. With their resources nearly depleted, Manok convinces his godfather in marriage, Freddie, to finance the rest of their operations. Manok, Freddie, and another friend, Boyet, journey back to the site hoping that, as their medium predicted, they will find gold before Manok’s wife gives birth in a month’s time."
Donor (2010),"Desperate for money, Lizette pursues the dark and thankless world of organ donation, hoping for a better life."
Sampaguita: The National Flower (2010),"This film tells the story of a group of children whose lives are inexorably bound up with Sampaguita the national flower of Philippines and the myths that surround it. Sampaguita blossoms are much sought-after but, since they wilt quickly, they must be sold within twenty-four hours. All the children in this film are are all sampaguita pickers or sellers."
Ang Paglilitis ni Andres Bonifacio (2010),"Ang Paglilitis ni Andres Bonifacio is the untold story of the trial of Andres Bonifacio under the Revolutionary Government of Pres. Emilio Aguinaldo. Two leaders, Andres Bonifacio, Supremo of the Katipuneros, and Emilio Aguinaldo, president of the Revolutionary Government, made their way to fight for freedom for the Filipinos against the dominant rule, fought for a cause and for a reason to be one nation. Yet only one should rule. This was the start of Philippine politics. Ang Paglilitis ni Andres Bonifacio is a film documentation of Philippine history put to screen and megged by Mario O’Hara. And now, let the people be the judge whether Andres Bonifacio is guilty or not guilty of treason"
Two Funerals (2010),"After a horrific collision between a passenger bus and an 18-wheeler truck in Nueva Ecija claimed two dozen casualties, two families await the arrival of their dead."
Sigwa (2010),A former student activist returns to the Philippines to find the daughter she was forced to leave behind.
Halaw (2010),"This film exposes the human trafficking operation and journey through the seas of Southern Philippines to neighboring Malaysia. Based on research and interviews, this dramatic narrative provides a kaleidoscope of characters hoping for a better life in Sabah, in spite of the dubiousness of the process, and uncertainty of a true job in Malaysia. It also represents a microcosm of the multi-cultural groupings of Mindanao whose diversity is bound by a common goal, an opportunity to earn a living, as they take that illegal small boat ride from their homeland to that foreign ""Promised Land."""
The Leaving (2010),A Filipino thriller directed by Ian Loreños
The Bridal Quarter (2010),"The film captures the ritual motions of the women in a family preparing for the wedding of seventeen-year-old Ayesah who is betrothed to a man she barely knows. As preparations for her union is underway, Ayesah is reunited with her childhood tutor Maguid who returns to the village as a militiaman after five years, reawakening Ayesah’s past memory of childhood infatuation. Throughout Ayesah’s confinement her precocious and rebellious eight-year-old sister Saripa becomes her eyes to the world beyond her room. Her mother Amina keeps her composure despite the fact her husband sleeps with his second wife half of the time, finding solace in the belief that it is both her religious and familial duty to be an obedient wife. Ayesah’s aunt Farida is tasked to ensure that she is prepared for the wedding. However, Farida’s dark past challenges Ayesah’s resolve finding herself choosing between love and loyalty to tradition and family."
Mayohan (2011),"May is the month dedicated to the Blessed Virgin Mary, mother of Christ. In Infanta, Quezon, locals turn each of the 31 days of May into a charming honor not only to celebrate good harvest in their agricultural setting, but also to pay tribute to the virginal virtues of the Mayohan. Every month of May, a padasal or series of novenas commences to mark the beginning of Mayohan. This will culminate in a Pasayaw or Tapusan in every purok of each barangay. A system of ambagan or donation ensues for the festivities to take place."
Rekrut (2010),"What is the measure of true friendship? Jamir, a devout Muslim, and Lando, a Christian, are among an elite group of young recruits formed by military officers for a classified operation. These impressionable young men would undergo intense and grueling training that put their will and strength of character to the test. Amidst all the hardships, these men set aside their differences and became brothers. But what happens when the institution they have sworn to protect becomes the wedge that will tear their brotherhood apart?"
"Si Techie, si Teknoboy, at si Juana B (2010)","Techie and Jay, both OFWs from Qatar, decide to come home for two weeks to get married. Unknown to Jay, Techie is nurturing a plan to meet her virtual lover, Teknoboy, before her wedding day."
Vox Populi (2010),"San Cristobal mayoralty candidate Connie de Gracia is hearing mass, in the hopes that her fealty with the Catholic God translates to votes. After all, the voice of the people is the voice of God. If one is assured of God's undying support because of her utmost religiosity and sincerity, then the votes will simply follow. However, politics in the Philippines is not as divinely blessed as one would wish."
Pink Halo-Halo (2010),"Natoy, like any other child, finds joy and excitement in the simplest of things, especially in eating halo-halo filled with pink gelatin and red sago. Things change suddenly when, as he is watching television, a news report about the ongoing war in Mindanao shows footage of a badly wounded soldier waiting to be rescued. That soldier, almost bleeding to death, is his father, Corporal Lino Bolante. This starts his journey as he and his mother Sonia wait for help that comes too late. This story does not only show how the war in Mindanao robs a child of his innocence, but also shows the shadows of war that Filipino homes confront everyday."
Blood Ties (2010),"Magkakapatid is a story about a family that drifts apart due to socio-economic differences. Three siblings, three narratives, one tragedy, wherein a brother kills his own brother, a father struggles to accept a daughter’s marriage, and a daughter who could not mourn. In a situation where even traditions can’t pull them together, a tragedy drags them together."
Trespassers (2011),"The eve of Christmas, the Aguinaldo family’s residence is burglarized, causing its members to identify stolen items and uncover lingering sentiments they have hidden from each other. Amidst the tension brought about by the burglary, the Aguinaldo family realizes how treasured sentiments have been lost, relationships have evolved as they arrive from church at a house in shambles."
Palawan Fate (2011),"Punay was born with wounds on her feet so that she cannot step on the earth. Her brother, Angkarang, carries her through a hammock, as he searches the changing landscape of Palawan in hoping to find a healer who can cure Punay. Different people help him carry his sister along the way- a woman looking for her husband, a fisherman who lost his boat, and a young man who is searching for himself- and each one meets their fate."
Fable of the Fish (2011),"Impoverished, childless and living in a garbage dump, Miguel and Lina become instant celebrities when Lina miraculously becomes pregnant. But Lina gives birth to a fish, which increases her celebrity but leaves Miguel humiliated and the couple at odds. What follows is an illuminating examination of how this unusual family copes and compromises in the face of a modern-day miracle."
Patikul (2011),"The long-standing conflict between the military forces and the rebel group Abu Sayaff has severely ravaged the poor town of Patikul in Sulu. Residents have become so accustomed to the armed clashes, that reports of kidnappings and recruitment of young Tausugs to join the rebel groups already became normal news to them. However, Amman, a 33 year old coffee farmer in Sitio Kan-Ague, continues to believe that there is still hope for their town. Amman believes that educating his children would change their present situation."
Amok (2011),"The bustling and sweltering rugged intersection of Pasay Rotonda serves as the main setting for this story of interconnected fate and destiny. As a raging man's bullets strays into different directions, the fate of several different characters are sealed and determined. As the temperature rises, the tension escalates and the story unravels with unforgiving immediacy and explodes in the end as each one struggles to survive and escape their inevitable end."
The Woman in the Septic Tank (2011),"Cynical filmmakers plan on producing a bleak, independent film dealing with poverty and prostitution in the hopes of scoring free travel to international film festivals."
Bahay Bata (2011),"Sarah is a nurse at a Public Maternity Hospital. The hospital is abuzz with pregnant mothers of all shapes and sizes in different stages of labor. The hospital is short on staff on Christmas Day so Sarah is forced to put in a double shift. Sarah observes the women coming and going in her ward, noting who is a first-timer and who is a veteran. Meanwhile, the wards are overcrowded : two women and their babies sharing single beds while those in labor are spilling unto the hallways. Sarah takes these all in stride, her heart and mind laboring over her own personal pains."
Cuchera (2011),"Based on a true story, Cuchera is about Filipino drug mules, drug couriers and their recruiters. It follows the story of Isabel, a veteran drug mule, in her first attempt at running her own drug transshipment operation between Manila and China. Isabel’s character is based on the story of an actual Filipina drug mule who was caught with eight capsules of heroin lodged in her sex organ, 48 in the rectum and 11 in her abdomen after an x-ray was conducted by Chinese authorities. Cuchera presents an accurate depiction of how some Filipinos end up becoming entrenched in the world of illegal drugs. Currently, the Philippines leads all Southeast Asian countries in the number of nationals arrested for drug smuggling charges in China. As of 2009, there are currently 95 Filipinos languishing in various jails in Chinese territories---four of whom are on death row. Violators include minors who enter China with fake passports."
I-Libings (2011),"A coming of age story about Isabel’s lessons and realizations on life and death as a funeral videography intern. Due to her family situation, Isabel is cynical and skeptical of everything that comes her way. When she enters the I-libings for her required college internship, she sees it as the worst internship her college adviser could suggest to her. Later as she accumulates her required hours, she realizes that the company is not just a place where videographers make money out of other people’s misfortunes but is a place where the dead and the grieving receive special attention. It all comes full circle when Isabel is faced with an unusual family tragedy. Isabel realizes that her internship might have been just 200 hours, but the lessons that the I-libings left her would last a lifetime."
"Ligo na Ü, Lapit na Me (2011)","College senior Intoy (Edgar Allan Guzman) is unwittingly fallen into a friend-with-benefits situation with his mysterious classmate Jenny (Mercedes Cabral). Jenny has a reputation for being promiscuous, and Intoy plays aloof to hide the fact that he’s fallen in love with her. Slowly, Jenny opens up to him as well, revealing the vulnerable center to her seemingly impervious façade. But poor, confused Intoy isn’t really equipped to deal with the feelings involved."
Niño (2011),"The once illustrious Lopez-Aranda family has faded. Celia, once the darling of Philippine opera, and Gaspar, a distinguished ex-congressman, lacked the shrewdness to maintain their once elegant status. Saddled with a failed marriage, a vanishing career and mounting debt, Celia sold her share of their house to Gaspar, now bedridden. She managed to stay for free in exchange for being Gaspar’s caregiver. Gaspar loves listening to Celia’s arias. This idyllic arrangement is shattered when he slips into a coma. His daughter, Raquel, comes home from the US, determined to sell the house to salvage her own economic woes abroad. This signals Celia’s impending homelessness. With only a few heirlooms to sell, she is at her wits’ end. A fervent believer of the Sto. Nino, she hopes for a miracle. She dresses up her grandson, Antony, in Sto. Nino robes to prepare him for the coming fiesta."
The Dance of Two Left Feet (2011),"An unconventional love triangle that springs from a college student’s infatuation with his much older dance teacher. Wanting her attention, he asked the class beadle for dance training. Little did he know that he is in love with him."
Father's Away (2011),"Teoriya is a story about loss that centers on the film’s main character, Jimmuel Apostol II. After hearing the news that his father has passed away, Jim goes back home to Zamboanga City after leaving ten years ago in bad terms with his father. He arrives in Zamboanga only to find that his father has already been buried and he doesn’t know where. Jim takes a journey around the Zamboanga peninsula and ultimately into his own self, finding the missing piece of his life."
Bwakaw (2012),"Gruff retiree Rene rejects most human contact, but begins to soften once he comes to terms with his homosexuality."
Kalayaan (2012),"Julian is a soldier stationed on a remote island in the Philippines. He has finished his three months of service on the island and is ready to leave, but news of a coup d’état in Manilla forces Julian to stay on the island longer. All Julian has is a walkie-talkie, radio and TV. Meanwhile, Julian senses someone watching him. When Julian loses contact with the main base, soldiers Lucio and Eric are sent to the island. The soldiers then talk about a soldier previously stationed on the island and his encounters with a mermaid."
Kamera Obskura (2012),"The title “Kamera Obskura” is a Filipino spelling of the latin “Camera Obscura” which simply means “dark room”. The film’s concept adheres to formalist cinema, where the filmmaker’s thesis is to make a semblance of a vintage film seemingly produced sometime in the late 1920s to early 1930s in the Philippines. The thesis is to conjure up a film from a period that did not really exist in Philippine cinema’s historical cultural heritage as we know it, such as a pseudo-expressionist / experimental Filipino cinema of the silent film era. It is a film within a film. The narrative plays with the idea of a retro-futurist world where a prisoner locked away in a dark chamber for over two decades only sees the reality of the world outside through the small hole in his cell, which projects an image of the city on his wall, the phenomenon of the “camera obscura”."
Mga Mumunting Lihim (2012),"The death of Mariel was met with such hurt by her three closest friends. But it was her best friend, Carla that she leaves a most special gift, a box full of her diaries through the years. Carla has been Mariel’s friend since their high school years; they have practically shared everything in their lives together. Their two other girl friends, Sandra and Olive formed the quartet who would get together ever so often and served as a mutual support system. Despite warnings from Sandra and Olive not to read the diaries left behind by Mariel, Carla could not help herself to find out what was written on those volumes of handwritten materials. True enough, what she discovered completely shattered all her perceptions and beliefs of the friendship shared by the four women through the years."
Shackled (2012),"Stealing a middle-class woman’s smartphone is the biggest mistake in the petty-criminal life of Jestoni ""Jess"" Biag . It not only gets him locked up and waterboarded, but also gives him a crash-course in the workings of the deeply corrupt system personified by his nemesis Inspector Domingo. The phone’s memory contains an embarrassing video, which makes the owner Grace Rosuello determined to get it back; her persistence lands Jess in custody."
The Animals (2012),"Set in an affluent, upper middle class village in the suburbs, “The Animals” chronicles a day in the life of Jake, Trina, and Alex, who go through the musings that every kid in high school has to deal with. All Jake wants to do is have a good time, Alex just wants to fit in, and Trina simply wants more. A very vivid picture is painted of life in high school after the final bell rings, as well as a different side of the Philippines, and what is happening to its privileged children."
Apparition (2012),"Tucked away in a remote forest, the convent of Adoration is inhabited by a group of nuns seeking a peaceful life of devotion and discipline, filling their days with nothing but mundane chores and prayers. But the wish for a life in isolation is threatened when President Ferdinand Marcos declares martial law, and political protests and chaos begin to infiltrate every corner of the archipelago. Suddenly, the nuns find themselves engulfed in violence and unrest that will eventually put their faith and conscience to the test."
Resident Aliens (2012),"Guam, U.S.A. Thursday, November 24, Thanksgiving Day. Alex, a local newspaper photographer, gets into a “green card marriage” with her good friend James, a Guam-born Filipino. Miriam, a former member of the Philippine press and now an established Guam journalist, longs to repair a damaged relationship with her American husband. Ella, a hotel housekeeper for almost 20 years, finds means of sending her 88-year old mother to the Philippines with the uncertainty of coming back. As the island of Guam celebrates this classic American holiday when people count their blessings and give thanks, the lives of the three Filipina immigrants intersect and find themselves at a tug-o-war of sacrifice and significance where they must find their home or must they find it somewhere else."
Diablo (2012),"Every night, Nana Lusing lies on her bed sleepless because she sees a dark figure looming in her room. Who is this shadow? Is this the devil? Her late husband? A manifestation of her anxieties? Or simply a figment of her imagination?"
Intoy Syokoy ng Kalye Marino (2012),"Intoy has had the hots for Doray since they were kids in Kalye Marino, Cavite City, formerly the American Naval Base in Sangley Point. Both marginalized as the long-lasting effect of American abandonment of the said base, Intoy has become Kalye Marino’s best “tahong” caretaker-with-no-angst-about-poverty, while Doray a cheap prostitute-with-no-guilt, tending to her siblings’ needs. Intoy strives to have his own cages of “tahong” so he can have Doray, not for just a night of quickie sex, but forever. But what will he do to when she offers to drop by his hovel-on-stilts to quench his passion, but before it happens Nature has chosen to play a joke on his tahong cage? Will it be goodbye to his tahong business or to his damsel-in-distress and ultimately to Kalye Marino? From Eros S. Atalia’s 2001 Palanca Grand Prize-winning Short Story, Intoy Syokoy ng Kalye Marino is a love tale minus the obligatory romantic sentiments."
Ang Katiwala (2012),"Ruben loses his job as a carpenter in a small town in Zambales where he lives with his wife Eden and their 10-year old son, Budoy. Desperate to make ends meet, he accepts a job as a caretaker of an abandoned property in Quezon City. Ruben soon finds out that the previous owner of the house is an important figure in the country’s history. When he is interviewed by a TV reporter about this historical figure, Ruben feels embarrassed that he knows nothing about him. Ruben soon starts reading up to get to know more about the life of this person, his accomplishments and what he has done for the people. Ruben’s fascination about the person’s life and his inevitable hero-worship irks the only friend he has in the sprawling compound, the night-shift security guard, Gimo, who jokes that Ruben is slowly being possessed by the soul of his new hero."
What Isn't There (2012),"Gibson Bonifacio stopped speaking when he was a child. Now twenty, he returns home to Manila for Christmas. While always festive in the Philippines, for his family it is tinged with sadness, marking the anniversary of his twin brother’s death."
The Coin Bearer (2012),"The film set in a decadent world where even death becomes a provider. In a country where a cadaver may serve as license for holding a sakla operation (illegal gambling) in wakes, people may exploit the dead in order to generate income from the profits of gambling, and possibly pay for its burial. In Oros, a funeral parlor owner sells an unidentified body to Makoy, a kasero in a saklaan, who, along with his reluctant brother, Abet, set the stage for a three-week long fake wake holding the illegal saklaan. The sakla personnel deals with everyone involved, including Linda, an impoverished homeowner, as they agree upon a fictional story which will “legitimize” the wake."
Sta. Niña (2012),"When Paulino Mungcal and his co-worker in a lahar-filled quarry unexpectedly dig up the remains of his 2-year daughter Marikit, they discover that she showed no signs of decay. Could this be a miracle, and could she -- despite death – cure the sick? Inspired by whatever healing power the deceased child may have, Pol asks the church to declare her a saint. But how, when her resurgence stirs up emotions buried by time, and shores up questions about pure love, guilt, sin and salvation?"
Requiem (2012),"Circus hijinks surround the barangay of Sta. Maria in the midst of an international murder sensation. Swanie, Sta. Maria’s barangay chair and a distant relative of the killer, tries to gain political points by staging a wake for the criminal-turned-celebrity. Meanwhile in faraway Manila, Joanna, Swanie’s runaway son, navigates his way through labyrinthine bureaucracy, to give a neighbor a proper burial. With these two unrelated deaths, estranged mother and son each bury the dead long shelved in their hearts. Amidst these unspoken family burials, the neighborhoods’ penchant for funeral fiestas, gossip and secrets, bizarre social events and the sheer mix of scandal and inebriation complete the picture of dying the Pinoy way."
Love and Death (2013),"An erotic 16th Century period drama, the ﬁlm examines the initial encounter between the Indios (natives) and their colonizers (Spaniards) and their conﬂicting views on love, passion, religion and sexuality."
